[2022-05-06 15:46:30,876] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/ HTTP/1.1" 302 0
[2022-05-06 15:46:32,739] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/login/?next=/admin/app01/ HTTP/1.1" 200 1833
[2022-05-06 15:46:32,765] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2022-05-06 15:46:32,787] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2022-05-06 15:46:34,968] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-05-06 15:46:34,973] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /admin/login/?next=/admin/app01/ HTTP/1.1" 302 0
[2022-05-06 15:46:35,042] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/ HTTP/1.1" 200 5526
[2022-05-06 15:46:35,090] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2022-05-06 15:46:35,100] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2022-05-06 15:46:37,514] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 43947
[2022-05-06 15:46:37,576] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2022-05-06 15:46:37,596] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2022-05-06 15:46:46,382] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/TestPlanSW/testitemsw/ HTTP/1.1" 200 755518
[2022-05-06 15:46:46,424] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2022-05-06 15:46:47,083] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2022-05-06 15:46:47,100] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
